emp_id,prod_code,quantity,Year,quarter,date
EMP244,PROD_001,23,2021,Q1,1/3/2021
EMP244,PROD_001,27,2021,Q1,1/10/2021
EMP244,PROD_001,37,2021,Q1,1/17/2021
EMP244,PROD_001,47,2021,Q1,1/24/2021
EMP244,PROD_001,42,2021,Q1,1/31/2021
EMP244,PROD_001,55,2021,Q1,2/7/2021
EMP244,PROD_001,59,2021,Q1,2/14/2021
EMP244,PROD_001,66,2021,Q1,2/21/2021
EMP244,PROD_001,91,2021,Q1,2/28/2021
EMP244,PROD_001,70,2021,Q1,3/7/2021
EMP244,PROD_001,62,2021,Q1,3/14/2021
EMP244,PROD_001,30,2021,Q1,3/21/2021
EMP244,PROD_001,47,2021,Q1,3/28/2021
EMP244,PROD_001,49,2021,Q2,4/4/2021
EMP244,PROD_001,44,2021,Q2,4/11/2021
EMP244,PROD_001,74,2021,Q2,4/18/2021
EMP244,PROD_001,87,2021,Q2,4/25/2021
EMP244,PROD_001,113,2021,Q2,5/2/2021
EMP244,PROD_001,94,2021,Q2,5/9/2021
EMP244,PROD_001,87,2021,Q2,5/16/2021
EMP244,PROD_001,124,2021,Q2,5/23/2021
EMP244,PROD_001,89,2021,Q2,5/30/2021
EMP244,PROD_001,93,2021,Q2,6/6/2021
EMP244,PROD_001,121,2021,Q2,6/13/2021
EMP244,PROD_001,91,2021,Q2,6/20/2021
EMP244,PROD_001,83,2021,Q2,6/27/2021
EMP244,PROD_001,36,2021,Q3,7/4/2021
EMP244,PROD_001,30,2021,Q3,7/11/2021
EMP244,PROD_001,46,2021,Q3,7/18/2021
EMP244,PROD_001,22,2021,Q3,7/25/2021
EMP244,PROD_001,24,2021,Q3,8/1/2021
EMP244,PROD_001,28,2021,Q3,8/8/2021
EMP244,PROD_001,37,2021,Q3,8/15/2021
EMP244,PROD_001,33,2021,Q3,8/22/2021
EMP244,PROD_001,40,2021,Q3,8/29/2021
EMP244,PROD_001,40,2021,Q3,9/5/2021
EMP244,PROD_001,47,2021,Q3,9/12/2021
EMP244,PROD_001,84,2021,Q3,9/19/2021
EMP244,PROD_001,37,2021,Q3,9/26/2021
EMP244,PROD_001,33,2021,Q4,10/3/2021
EMP244,PROD_001,41,2021,Q4,10/10/2021
EMP244,PROD_001,29,2021,Q4,10/17/2021
EMP244,PROD_001,33,2021,Q4,10/24/2021
EMP244,PROD_001,22,2021,Q4,10/31/2021
EMP244,PROD_001,21,2021,Q4,11/7/2021
EMP244,PROD_001,28,2021,Q4,11/14/2021
EMP244,PROD_001,35,2021,Q4,11/21/2021
EMP244,PROD_001,36,2021,Q4,11/28/2021
EMP244,PROD_001,36,2021,Q4,12/5/2021
EMP244,PROD_001,29,2021,Q4,12/12/2021
EMP244,PROD_001,31,2021,Q4,12/19/2021
EMP244,PROD_001,35,2021,Q4,12/26/2021
EMP244,PROD_001,27,2020,Q1,12/29/2019
EMP244,PROD_001,30,2020,Q1,1/5/2020
EMP244,PROD_001,40,2020,Q1,1/12/2020
EMP244,PROD_001,40,2020,Q1,1/19/2020
EMP244,PROD_001,56,2020,Q1,1/26/2020
EMP244,PROD_001,54,2020,Q1,2/2/2020
EMP244,PROD_001,73,2020,Q1,2/9/2020
EMP244,PROD_001,86,2020,Q1,2/16/2020
EMP244,PROD_001,66,2020,Q1,2/23/2020
EMP244,PROD_001,63,2020,Q1,3/1/2020
EMP244,PROD_001,49,2020,Q1,3/8/2020
EMP244,PROD_001,51,2020,Q1,3/15/2020
EMP244,PROD_001,53,2020,Q1,3/22/2020
EMP244,PROD_001,54,2020,Q2,3/29/2020
EMP244,PROD_001,64,2020,Q2,4/5/2020
EMP244,PROD_001,86,2020,Q2,4/12/2020
EMP244,PROD_001,77,2020,Q2,4/19/2020
EMP244,PROD_001,68,2020,Q2,4/26/2020
EMP244,PROD_001,79,2020,Q2,5/3/2020
EMP244,PROD_001,82,2020,Q2,5/10/2020
EMP244,PROD_001,89,2020,Q2,5/17/2020
EMP244,PROD_001,96,2020,Q2,5/24/2020
EMP244,PROD_001,95,2020,Q2,5/31/2020
EMP244,PROD_001,77,2020,Q2,6/7/2020
EMP244,PROD_001,56,2020,Q2,6/14/2020
EMP244,PROD_001,43,2020,Q2,6/21/2020
EMP244,PROD_001,35,2020,Q3,6/28/2020
EMP244,PROD_001,51,2020,Q3,7/5/2020
EMP244,PROD_001,30,2020,Q3,7/12/2020
EMP244,PROD_001,21,2020,Q3,7/19/2020
EMP244,PROD_001,31,2020,Q3,7/26/2020
EMP244,PROD_001,26,2020,Q3,8/2/2020
EMP244,PROD_001,37,2020,Q3,8/9/2020
EMP244,PROD_001,23,2020,Q3,8/16/2020
EMP244,PROD_001,57,2020,Q3,8/23/2020
